date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:42:56	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Mar%202022%2021:42:56%20GMT	https://temple.cx/robots.txt		(from )
00:42:56	14753/14753	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jan%202022%2009:21:48%20GMT	https://temple.cx/	C:/My%20Web%20Sites/temple.cx/temple.cx/index.html	(from )
00:42:57	4059/4059	---MCZ	200	added ('OK')	text/css	etag:W/%22615c6964-131b%22	https://temple.cx/temple.css	C:/My%20Web%20Sites/temple.cx/temple.cx/temple.css	(from https://temple.cx/)
00:42:57	91716/91716	---M--	200	added ('OK')	image/jpeg	etag:%22615c620a-16644%22	https://temple.cx/bg.jpg	C:/My%20Web%20Sites/temple.cx/temple.cx/bg.jpg	(from https://temple.cx/)
00:42:57	4000/4000	---M--	200	added ('OK')	image/png	etag:%22615c620a-fa0%22	https://temple.cx/Tooltip.png	C:/My%20Web%20Sites/temple.cx/temple.cx/Tooltip.png	(from https://temple.cx/)
00:42:58	18513/18513	---M--	200	added ('OK')	image/png	etag:%22615c620a-4851%22	https://temple.cx/Temple.png	C:/My%20Web%20Sites/temple.cx/temple.cx/Temple.png	(from https://temple.cx/)
00:42:58	250358/250358	---M--	200	added ('OK')	image/png	etag:%22615c620a-3d1f6%22	https://temple.cx/bruh1.png	C:/My%20Web%20Sites/temple.cx/temple.cx/bruh1.png	(from https://temple.cx/)
00:42:58	173441/173441	---M--	200	added ('OK')	image/png	etag:%22615c620a-2a581%22	https://temple.cx/bruh2.png	C:/My%20Web%20Sites/temple.cx/temple.cx/bruh2.png	(from https://temple.cx/)
00:42:58	1547/1547	---M--	200	added ('OK')	image/png	etag:%22615c620a-60b%22	https://temple.cx/bruh3.png	C:/My%20Web%20Sites/temple.cx/temple.cx/bruh3.png	(from https://temple.cx/)
00:42:58	187/187	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Mar%202022%2021:42:59%20GMT	https://temple.cx/discord	C:/My%20Web%20Sites/temple.cx/temple.cx/discord	(from https://temple.cx/)
00:42:59	187/187	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Mar%202022%2021:42:59%20GMT	https://temple.cx/buy	C:/My%20Web%20Sites/temple.cx/temple.cx/buy	(from https://temple.cx/)
00:42:59	187/187	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Mar%202022%2021:42:59%20GMT	https://temple.cx/signup	C:/My%20Web%20Sites/temple.cx/temple.cx/signup	(from https://temple.cx/)
00:42:59	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2005%20Mar%202022%2021:42:59%20GMT	https://temple.cx/discord/	C:/My%20Web%20Sites/temple.cx/temple.cx/discord/index.html	(from https://temple.cx/)
00:42:59	187/187	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Mar%202022%2021:42:59%20GMT	https://temple.cx/login	C:/My%20Web%20Sites/temple.cx/temple.cx/login	(from https://temple.cx/)
00:42:59	187/187	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Mar%202022%2021:43:00%20GMT	https://temple.cx/dash	C:/My%20Web%20Sites/temple.cx/temple.cx/dash	(from https://temple.cx/)
00:42:59	187/187	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Mar%202022%2021:43:00%20GMT	https://temple.cx/tos	C:/My%20Web%20Sites/temple.cx/temple.cx/tos	(from https://temple.cx/)
00:43:01	3556/3556	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Feb%202022%2001:40:20%20GMT	https://temple.cx/buy/	C:/My%20Web%20Sites/temple.cx/temple.cx/buy/index.html	(from https://temple.cx/)
00:43:01	1033/1033	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Mar%202022%2021:43:00%20GMT	https://temple.cx/signup/	C:/My%20Web%20Sites/temple.cx/temple.cx/signup/index.html	(from https://temple.cx/)
00:43:01	790/790	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Mar%202022%2021:43:01%20GMT	https://temple.cx/login/	C:/My%20Web%20Sites/temple.cx/temple.cx/login/index.html	(from https://temple.cx/)
00:43:01	171/171	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2016:36:40%20GMT	https://temple.cx/tos/	C:/My%20Web%20Sites/temple.cx/temple.cx/tos/index.html	(from https://temple.cx/)
00:43:01	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2005%20Mar%202022%2021:43:01%20GMT	https://temple.cx/dash/	C:/My%20Web%20Sites/temple.cx/temple.cx/dash/index.html	(from https://temple.cx/)
00:43:01	4130/4130	---MCZ	200	added ('OK')	text/css	etag:W/%226161ac56-1022%22	https://temple.cx/login.css	C:/My%20Web%20Sites/temple.cx/temple.cx/login.css	(from https://temple.cx/signup/)
